alcaldia,PEA,PEA_H,PEA_M,PNEA,NE
ALVARO OBREGON,64.7,54.1,45.9,34.9,0.3
AZCAPOTZALCO,63.4,53.8,46.2,36.5,0.1
BENITO JUAREZ,70.4,51.1,48.9,29.4,0.2
COYOACAN,62.6,53,47,37.2,0.2
CUAJIMALPA DE MORELOS,65.8,54.4,45.6,33.8,0.4
CUAUHTEMOC,70.2,52.8,47.2,29.5,0.3
GUSTAVO A. MADERO,61.3,55.6,44.4,38.5,0.2
IZTACALCO,64.1,54.2,45.8,35.7,0.2
IZTAPALAPA,63.5,56.2,43.8,36.3,0.2
LA MAGDALENA CONTRERAS,62.9,54.8,45.2,36.6,0.4
MIGUEL HIDALGO,68.1,52.4,47.6,31.6,0.3
MILPA ALTA,67,56.6,43.4,32.8,0.2
TLAHUAC,63.2,57,43,36.7,0.2
TLALPAN,64.2,54.4,45.6,35.6,0.2
VENUSTIANO CARRANZA,64.8,54,46,35,0.2
XOCHIMILCO,63.2,56.3,43.7,36.7,0.2
