alcaldia,trabajo,porcentaje
ALVARO OBREGON,estudiante,37.6
ALVARO OBREGON,hogar,35.1
ALVARO OBREGON,jubilados,15.3
ALVARO OBREGON,limitados,2.7
ALVARO OBREGON,otros,9.3
AZCAPOTZALCO,estudiante,35.3
AZCAPOTZALCO,hogar,32.7
AZCAPOTZALCO,jubilados,22.2
AZCAPOTZALCO,limitados,2.3
AZCAPOTZALCO,otros,7.6
BENITO JUAREZ,estudiante,34
BENITO JUAREZ,hogar,24.7
BENITO JUAREZ,jubilados,29.5
BENITO JUAREZ,limitados,2
BENITO JUAREZ,otros,9.9
COYOACAN,estudiante,35.6
COYOACAN,hogar,29.6
COYOACAN,jubilados,22.6
COYOACAN,limitados,3
COYOACAN,otros,9.1
CUAJIMALPA DE MORELOS,estudiante,42.6
CUAJIMALPA DE MORELOS,hogar,37.1
CUAJIMALPA DE MORELOS,jubilados,9.6
CUAJIMALPA DE MORELOS,limitados,2.1
CUAJIMALPA DE MORELOS,otros,8.5
CUAUHTEMOC,estudiante,36.5
CUAUHTEMOC,hogar,29.3
CUAUHTEMOC,jubilados,21.8
CUAUHTEMOC,limitados,2.8
CUAUHTEMOC,otros,9.6
GUSTAVO A. MADERO,estudiante,35.4
GUSTAVO A. MADERO,hogar,34.8
GUSTAVO A. MADERO,jubilados,17.5
GUSTAVO A. MADERO,limitados,2.8
GUSTAVO A. MADERO,otros,9.5
IZTACALCO,estudiante,36.2
IZTACALCO,hogar,34.3
IZTACALCO,jubilados,18.3
IZTACALCO,limitados,3
IZTACALCO,otros,8.2
IZTAPALAPA,estudiante,37.5
IZTAPALAPA,hogar,38
IZTAPALAPA,jubilados,12.3
IZTAPALAPA,limitados,3.1
IZTAPALAPA,otros,9.1
LA MAGDALENA CONTRERAS,estudiante,37.9
LA MAGDALENA CONTRERAS,hogar,35.6
LA MAGDALENA CONTRERAS,jubilados,14.7
LA MAGDALENA CONTRERAS,limitados,3.1
LA MAGDALENA CONTRERAS,otros,8.8
MIGUEL HIDALGO,estudiante,36.8
MIGUEL HIDALGO,hogar,31.4
MIGUEL HIDALGO,jubilados,20.9
MIGUEL HIDALGO,limitados,2.4
MIGUEL HIDALGO,otros,8.5
MILPA ALTA,estudiante,42.7
MILPA ALTA,hogar,39.7
MILPA ALTA,jubilados,7.1
MILPA ALTA,limitados,3.9
MILPA ALTA,otros,6.6
TLAHUAC,estudiante,40.5
TLAHUAC,hogar,39.3
TLAHUAC,jubilados,10
TLAHUAC,limitados,2.7
TLAHUAC,otros,7.5
TLALPAN,estudiante,39.6
TLALPAN,hogar,33.1
TLALPAN,jubilados,15.7
TLALPAN,limitados,2.7
TLALPAN,otros,9
VENUSTIANO CARRANZA,estudiante,35.4
VENUSTIANO CARRANZA,hogar,34.7
VENUSTIANO CARRANZA,jubilados,18.4
VENUSTIANO CARRANZA,limitados,2.7
VENUSTIANO CARRANZA,otros,8.8
XOCHIMILCO,estudiante,38.9
XOCHIMILCO,hogar,34.5
XOCHIMILCO,jubilados,14.1
XOCHIMILCO,limitados,2.9
XOCHIMILCO,otros,9.6
