alcaldia,sexo,edad,poblacion
AZCAPOTZALCO,hombre,0 a 4,10794
AZCAPOTZALCO,hombre,5 a 9,11950
AZCAPOTZALCO,hombre,10 a 14,13219
AZCAPOTZALCO,hombre,15 a 19,14272
AZCAPOTZALCO,hombre,20 a 24,15895
AZCAPOTZALCO,hombre,25 a 29,16899
AZCAPOTZALCO,hombre,30 a 34,17047
AZCAPOTZALCO,hombre,35 a 39,15868
AZCAPOTZALCO,hombre,40 a 44,14624
AZCAPOTZALCO,hombre,45 a 49,14810
AZCAPOTZALCO,hombre,50 a 54,14313
AZCAPOTZALCO,hombre,55 a 59,11992
AZCAPOTZALCO,hombre,60 a 64,10497
AZCAPOTZALCO,hombre,65 a 69,7906
AZCAPOTZALCO,hombre,70 a 74,5925
AZCAPOTZALCO,hombre,75 a 79,3966
AZCAPOTZALCO,hombre,80 a 84,2628
AZCAPOTZALCO,hombre,85+,2163
AZCAPOTZALCO,mujer,0 a 4,10266
AZCAPOTZALCO,mujer,5 a 9,11470
AZCAPOTZALCO,mujer,10 a 14,12667
AZCAPOTZALCO,mujer,15 a 19,13711
AZCAPOTZALCO,mujer,20 a 24,15561
AZCAPOTZALCO,mujer,25 a 29,17506
AZCAPOTZALCO,mujer,30 a 34,17858
AZCAPOTZALCO,mujer,35 a 39,17294
AZCAPOTZALCO,mujer,40 a 44,16621
AZCAPOTZALCO,mujer,45 a 49,17049
AZCAPOTZALCO,mujer,50 a 54,16822
AZCAPOTZALCO,mujer,55 a 59,14682
AZCAPOTZALCO,mujer,60 a 64,13290
AZCAPOTZALCO,mujer,65 a 69,10153
AZCAPOTZALCO,mujer,70 a 74,8307
AZCAPOTZALCO,mujer,75 a 79,5665
AZCAPOTZALCO,mujer,80 a 84,4217
AZCAPOTZALCO,mujer,85+,3933
COYOACAN,hombre,0 a 4,13518
COYOACAN,hombre,5 a 9,15435
COYOACAN,hombre,10 a 14,17531
COYOACAN,hombre,15 a 19,20091
COYOACAN,hombre,20 a 24,23667
COYOACAN,hombre,25 a 29,23879
COYOACAN,hombre,30 a 34,22251
